fecha_jornada;jornada;partido;equipo_local;marcador_local;equipo_visitante;marcador_visitante;resultado
domingo 2 de diciembre de 2018;24;2;Valladolid;2;Leganés;4;2
domingo 11 de noviembre de 2018;20;5;Alavés;2;Huesca;1;1
domingo 2 de diciembre de 2018;24;3;Getafe;3;Espanyol;0;1
domingo 2 de diciembre de 2018;24;1;Celta;2;Huesca;0;1
domingo 2 de diciembre de 2018;24;4;Real Madrid;2;Valencia;0;1
domingo 2 de diciembre de 2018;24;6;Girona;1;Atlético de Madrid;1;X
domingo 2 de diciembre de 2018;24;7;Alavés;1;Sevilla;1;X
domingo 2 de diciembre de 2018;24;5;Betis;1;Real Sociedad;0;1
domingo 2 de diciembre de 2018;24;10;Almería;1;Extremadura;1;X
domingo 2 de diciembre de 2018;24;9;Málaga;0;Granada;1;2
domingo 2 de diciembre de 2018;24;12;Rayo Majadahonda;0;Deportivo;0;X
domingo 2 de diciembre de 2018;24;11;Sporting de Gijón;2;Tenerife;1;1
domingo 2 de diciembre de 2018;24;13;Albacete;2;Alcorcón;1;1
domingo 2 de diciembre de 2018;24;15;Barcelona;2;Villarreal;0;20
domingo 9 de diciembre de 2018;26;1;Atlético de Madrid;3;Alavés;0;1
domingo 2 de diciembre de 2018;24;14;Las Palmas;0;R. Oviedo;0;X
domingo 2 de diciembre de 2018;24;8;Córdoba;1;Elche;1;X
domingo 9 de diciembre de 2018;26;2;Valencia;1;Sevilla;1;X
domingo 9 de diciembre de 2018;26;3;Villarreal;2;Celta;3;2
domingo 9 de diciembre de 2018;26;4;Espanyol;0;Barcelona;4;2
domingo 9 de diciembre de 2018;26;7;Betis;2;Rayo Vallecano;0;1
domingo 9 de diciembre de 2018;26;6;Real Sociedad;1;Valladolid;2;2
domingo 9 de diciembre de 2018;26;8;Albacete;2;Osasuna;2;X
domingo 9 de diciembre de 2018;26;10;R. Oviedo;1;Almería;2;2
domingo 9 de diciembre de 2018;26;11;Alcorcón;0;Reus Deport.;1;2
domingo 9 de diciembre de 2018;26;9;Mallorca;1;Málaga;2;2
